Timestamp,"Факултетен номер","Номер на въпроса","Цел на въпроса",Въпрос,"Опция 1","Опция 2","Опция 3","Опция 4","Верен отговор","Ниво на трудност","Обратна връзка при верен отговор","Обратна връзка при грешен отговор",Забележка,"Тип на въпроса"
48,81646,1,"Да проверя дали знае какво е аутентикация","Какво е аутентикация?","Функция за определяне на права / привилегии за достъп до ресурси","Измерва количеството ресурси, което потребителят използва, за да получи достъп","Процесът или действието по верификация на самоличността на потребител или процес",Друго,3,2,"Браво! За повече информация виж секция ""Дефектна аутентикация"" от реферата","Грешен отговор! За повече информация виж секция ""Дефектна аутентикация"" от реферата",https://searchsecurity.techtarget.com/definition/authentication-authorization-and-accounting,1
49,81646,2,"Да провери дали са прочели реферата","На какви слабости се разделя дефектната аутентикация?","Управление  на сесия и предпазване от инжекции","Верифициране на входни данни","Проверка на потребителско име и проверка на парола","Управление на сесия и креденшъли",4,2,"Верен отговор. Отлично! За повече информация по темата виж секция ""Дефектна аутентикация"" от реферата.","Грешка! За повече информация по темата виж секция ""Дефектна аутентикация"" от реферата.",Няма,2
50,81646,3,"Да провери знанията след презентацията","Каква е разликата между credential stuffing и password spraying атаката?",Друго,"При Credential stuffing се използват вече компрометирани пароли и се знае към кое потребителско име са асоциирани, а при Password spraying се използват често използвани пароли, които не са ацосиирани ","При Password spraying се използват вече компрометирани пароли и се знае към кое потребителско име са асоциирани, а при Credential stuffing се използват често използвани пароли, които не са ацосиирани ","Няма разлика, термините са взаимно заменяеми",2,2,"Верен отговор. Отлично! За повече информация по темата виж секция ""Креденшъли"" от реферата.","Грешен отговор! За повече информация по темата виж секция ""Креденшъли"" от реферата.",https://security.stackexchange.com/questions/209266/what-are-the-differences-between-credential-stuffing-and-password-spraying,3
51,81646,4,"Да провери дали са чели съветите","Коя парола е най-сигурна?",sofiaismycity,D3c3mber123!@,24homeTV3(),123456,3,2,"Верен отговор. Отлично! За повече информация по темата виж секция ""Съвети"", т.6 от реферата.","Грешка! За повече информация по темата виж секция ""Съвети"", т.6 от реферата.",https://www.useapassphrase.com/,3
52,81646,5,"Дали са чели секция ""Съвети""","В кой случай има най-висока защита на потребителските данни?","Използване на двуслоева мултифактор аутентикация","Използване на често срещана парола","Използване на лицево разпознаване за парола","Използване на сложна парола",1,3,"Верен отговор. Отлично! За повече информация по темата виж секция ""Съвети"", т.5 от реферата.","Грешка! За повече информация по темата виж секция ""Съвети"", т.5 от реферата.",https://en.wikipedia.org/wiki/Multi-factor_authentication,3
53,81646,6,"Дали са прочели секция ""Съвети""","Кое е правилното при обработката на пароли?","Използване на Cryptographically Secure Pseudo-Random Number Generator за генериране на сол","Използване на композиция от утвърдени хеширащи алгоритми като sha1, md5 и т.н","Използване на една и съща сол при хеширане на пароли","Използване на сол с големина до 4 символа, за да се намали разхода на памет",1,3,"Верен отговор. Отлично! За повече информация по темата виж секция ""Съвети"", т.2 от реферата.","Грешка! За повече информация по темата виж секция ""Съвети"", т.2 от реферата.",https://crackstation.net/hashing-security.htm#properhashing,2
54,81640,1,"да провери информираността на студентите","Коя е най-новата версия на PHP?","PHP 8.0.0","PHP 9.3.0","PHP 7.4.0","PHP 7.5.0",1,1,"Чудесно! За повече информация прочети ""Използване на най-новата версия""","Грешка! За повече информация прочети ""Използване на най-новата версия""",https://www.php.net/downloads.php,1
55,81640,2,"да провери до колко студентите са запознати със SOLID","Кое от следните не е SOLID принцип?","Принцип на споделената отговорност","Принцип отворен/затворен","Принцип на обръщане на зависимостите","Принцип за разделяне на интерфейсите",1,2,"Отлично! За повече информация виж ""SOLID"" в реферата","Грешка! За повече информация виж ""SOLID"" в реферата",https://en.wikipedia.org/wiki/SOLID,1
56,81640,3,"да провери дали студентите знаят какво са интернационализация и локализация","Каква е разликата между интернационализация и локализация?","интернационализацията е разработването на приложението, така че да може лесно да се локализира","локализацията е разработването на приложението, така че да може лесно да се интернационализира","интернационализацията е вид локализация","едно и също е",1,4,"Браво! За повече инфо виж ""Интернационализация и локализация""","Грешка! За повече инфо виж ""Интернационализация и локализация""",https://en.wikipedia.org/wiki/Internationalization_and_localization,1
57,81640,4,"да провери дали студентите слушат презентацията","Кое е вярно за инжектирането на зависимостите?","по-добре е зависимостите да се подават отвън ","по-добре е класовете да са силно свързани","не трябва изобщо да има такива зависимости ","и силните, и слабите зависимости се тестват еднакво лесно",1,3,"Отлично! За повече информация прочети ""Инжектиране на зависимости""","Грешка! За повече информация прочети ""Инжектиране на зависимости""",https://en.wikipedia.org/wiki/Dependency_injection,2
58,81640,5,"да провери дали студентите четат слайдовете на презентацията","При взаимодействие на PHP с MySQL и работа с данни с енкодинг UTF-8, като charset подаваме:",utf8mb4,utf8,utf8charset,"не трябва да подаваме charset ",1,2,"Браво! Повече информация в ""Бази данни"" на реферата","Грешка! Повече информация в ""Бази данни"" на реферата",https://www.xspdf.com/resolution/50491399.html,2
59,81640,6,"да провери дали са прочели реферата внимателно","Кое от изброените не трябва да използваме при взаимодействие на PHP с MySQL?","mysql (драйвер)",mysqli,PDO,"няма проблем да използваме и трите",1,3,"Отлично! Виж секция ""PDO"" на реферата","Грешка! Виж секция ""PDO"" на реферата",https://phppot.com/php/mysql-vs-mysqli-in-php/,3
60,81640,7,"да провери дали са разбрали информацията от реферата","Кой е най-добрият начин за интернационализиране и локализиране на дадено приложение / сайт?","използване на gettext","изваждане на всички стрингове в променливи ","ръчна промяна на текста","няма начин да се интернационализират програми, писани на PHP",1,3,"Браво! Прочети още в ""Интернационализиране и локализиране""","Грешка! Прочети още в ""Интернационализиране и локализиране""",https://phptherightway.com/#i18n_l10n,3
61,81640,8,"да провери разбирането на реферата","Кое твърдение е вярно за докладването на грешки?","не е добре потребителите да виждат логовете на програмата ","важно е потребителите да имат достъп до логовете на програмата","грешките не е нужно да се записват, достатъчно е да се извеждат на потребителя","няма значение дали потребителите виждат логовете, по преценка на програмиста",1,3,"Чудесно! Виж повече на ""Сигурност"" в реферата","Грешка! Виж повече на ""Сигурност"" в реферата",https://phptherightway.com/#error_reporting,3
62,81640,9,"да провери разбирането на реферата","Филтрирането на данните:","зависи от това за какво ще използваме тези данни","трябва винаги да се прави ръчно при писане на PHP ","е универсално за всички входни данни ","е нужно само при данните, въведени от крайния потребител",1,4,"Чудесно! За повече инфо прочети ""Сигурност"" от реферата","Грешка! За повече инфо прочети ""Сигурност"" от реферата",https://phptherightway.com/#data_filtering,3
63,81640,10,"да провери задълбочеността на четенето на реферата","PDO предоставя","филтриране на данните, подадени като заявка към базата данни ","допълнителни инструменти за взаимодействие с базата данни ","превеждане на заявките от по-удобен за програмистите синтаксис","всичко изброено ",1,4,"Отлично! Виж секция ""PDO"" на реферата","Грешки! Виж секция ""PDO"" на реферата",https://www.php.net/manual/en/book.pdo.php,3
